"","Country","seatprop","ger_tertiary","ger_secondary","molten.flfpr","molten.gdp","molten.gni","molten.pop","ml_wagespaid1","ml_length1","fertility"
"65","Haiti",4.00806111111111,NA,NA,60.4050586924833,5905102286.99617,1560.58823529412,9468025.94444444,100,12,3.58738888888889
"66","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21227777777778
"67","Hungary",9.60196111111111,30.48375,98.7974509803922,43.9833528855268,119494780425.866,19932.3529411765,9996587.83333333,70,24,1.34666666666667
"68","Iceland",37.1251833333333,36.96,111.185625,71.577647040872,14973259562.5253,38135.8823529412,305346.111111111,80,13,1.99944444444444
"69","India",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7235
"70","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46805555555556
"71","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37655555555556
"72","Ireland",14.2922,30.96,114.259583333333,54.4755886302275,218371040928.376,39712.3529411765,4324274.83333333,80,26,1.94111111111111
"73","Israel",17.7314944444444,NA,103.324705882353,56.5147646735696,207996651974.42,29094.7058823529,7210806.66666667,100,14,2.97944444444444
"74","Italy",19.1004,38.9228571428571,99.4995833333333,38.2221177045037,1823103320242.85,33955.2941176471,58489981.4444444,0,22,1.36333333333333
"75","Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24561111111111
"76","Japan",8.62836666666667,NA,99.8422916666667,49.0060000700109,4668728500509.7,35764.7058823529,125638104.444444,66.7,14,1.36716666666667
"77","Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62016666666667
"78","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.425
"79","Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45588888888889
"80","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84755555555556
"81","Kuwait",2.64957777777778,NA,98.1348888888889,52.8673526539522,109086932411.477,83794.1176470588,2781724.83333333,100,10,2.35827777777778
"82","Latvia",19.9444444444444,34.5735294117647,99.2525,52.9405295428108,23639849478.6617,18206.4705882353,2131844.16666667,100,16,1.45833333333333
"83","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07622222222222
"84","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40744444444444
"85","Liberia",10.2821722222222,57.55,38.9391666666667,53.5573528514189,1969487117.64706,963.529411764706,3616377.55555556,0,NA,5.11494444444444
"86","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50622222222222
"87","Liechtenstein",17.7777777777778,37.2111111111111,110.594166666667,NA,4710160335.519,NA,34702,NA,NA,1.50555555555556
"88","Lithuania",19.0776111111111,33.2794117647059,102.081568627451,52.8424700568704,35280484134.2319,19988.2352941176,3126353.94444444,100,18,1.46222222222222
"89","Luxembourg",22.2222166666667,28.09,98.4924444444444,48.0398828843061,45773645373.1678,63018.8235294118,495527.5,100,16,1.58222222222222
"90","Madagascar",11.6933941176471,31.62875,32.261,85.0227647669175,7571428844.85146,1315.29411764706,19828670.5,100,14,4.76927777777778
"91","Malawi",15.0679722222222,NA,31.9225,73.5632346658146,4795973879.38422,958.823529411765,13697364.3888889,100,8,5.38861111111111
"92","Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25322222222222
"93","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23666666666667
"94","Mali",10.3174666666667,NA,33.377380952381,60.613764594583,9698068044.99068,1698.23529411765,14148526.5,100,14,6.55483333333333
"95","Malta",9.94753333333333,29.01625,96.3160416666667,34.7545887442196,8403456112.31678,26571.1764705882,412936.444444444,100,14,1.41722222222222
"96","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3875
"97","Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03338888888889
"98","Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66722222222222
"99","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404
"100","Monaco",21.7587611111111,0,NA,NA,5281512074.40677,NA,34640.8888888889,90,16,NA
"101","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49616666666667
"102","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79016666666667
"103","Morocco",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5815
"104","Mozambique",35.4888888888889,19.72125,19.6435555555556,83.2220593620749,10583216553.9444,866.470588235294,22210042.7222222,100,9,5.4495
"105","Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47927777777778
"106","Namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.608
"107","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Nepal",24.0399428571429,NA,54.9503921568627,80.2604706708123,13310533551.8117,1946.47058823529,25455250.7222222,100,7,2.79083333333333
"109","Netherlands",38.0740833333333,20.84625,124.071568627451,57.50817601821,720621003417.079,43791.1764705882,16280381.6666667,100,16,1.72111111111111
"110","New Zealand",31.68505,36.5707692307692,116.893333333333,61.0848821752212,132606501802.305,29435.2941176471,4199866.66666667,100,14,2.01055555555556
"111","Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68594444444444
"112","Niger",9.47271176470588,5.88,12.6279411764706,67.8767058428596,5015484971.00742,785.294117647059,15453514,100,14,7.45561111111111
"113","Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.84883333333333
"114","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53405555555556
"115","Norway",38.0268222222222,28.2923076923077,113.218823529412,61.5324700299431,355035009014.882,55538.2352941177,4786546.38888889,90,18,1.83
"116","Oman",1.10336923076923,47.99,92.7980952380952,26.8346470103544,51438001988.8319,38762.3529411765,3021372.05555556,100,7,3.02361111111111
"117","Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1625
"118","Palau",0.735294117647059,NA,104.18380952381,NA,207553052.941176,13517.0588235294,18094.8888888889,NA,NA,2.0725
"119","Panama",12.8146666666667,41.9958333333333,69.9369047619048,48.1386467428768,29846455688.8889,14318.2352941176,3449449.77777778,100,14,2.62333333333333
"120","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06677777777778
"121","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87616666666667
"122","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56677777777778
"123","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26288888888889
"124","Poland",21.0990444444444,41.55,100.780196078431,48.2437057495117,409969462072.406,19072.3529411765,37631099.1666667,100,20,1.32055555555556
"125","Portugal",25.3140055555556,40.1346666666667,106.615882352941,54.6588235742906,196954868874.575,25200,10375858.1111111,100,17,1.36944444444444
"126","Qatar",0,46.5127272727273,92.7890196078431,50.5525878457462,109143959196.833,105078.823529412,1542523,100,7,2.35111111111111
"127","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47055555555556
"128","Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50138888888889
"129","Rwanda",48.4282555555556,NA,25.3180392156863,84.1984710693359,4932072852.2406,1305.88235294118,9505135.94444444,60,12,4.76238888888889
"130","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30688888888889
"131","San Marino",16.3889055555556,NA,95.6291666666667,NA,1877343426.6601,NA,30011.1666666667,100,22,1.26
"132","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79005555555556
